Topic,Premise,Conclusion,Validity,Confidence
Two-state solution to Israeli-Palestinian conflict,"The Palestinians are like crocodiles, the more you give them meat, they want more."" -- Ehud Barak, Prime Minister of Israel at the time - August 28, 2000. Reported in the Jerusalem Post August 30, 2000.","Palestinians want more, so two-state solution is better",0,very confident
Two-state solution to Israeli-Palestinian conflict,"The Palestinians are like crocodiles, the more you give them meat, they want more."" -- Ehud Barak, Prime Minister of Israel at the time - August 28, 2000. Reported in the Jerusalem Post August 30, 2000.",Palestinians are like crocodiles:,1,very confident
Two-state solution to Israeli-Palestinian conflict,"US special envoy George Mitchell: ""In the case of the Israeli-Palestinian conflict, we believe that the two-state solution, two states living side by side in peace, is the best and the only way to resolve this conflict.",Two-state solution best way to resolve Israeli-Palestinian conflict,1,very confident
Two-state solution to Israeli-Palestinian conflict,"The Palestinians are like crocodiles, the more you give them meat, they want more."" -- Ehud Barak, Prime Minister of Israel at the time - August 28, 2000. Reported in the Jerusalem Post August 30, 2000.",The Pakistan-US nuclear deal risks emboldening the US,0,very confident
Two-state solution to Israeli-Palestinian conflict,"A two-state solution, particularly one that enables a Jewish state, will alienate Palestinians living in Israeli territory. At best, they would be second class citizens. At worst, they would be pushed out, directly or indirectly.",Two-state solution will alienate Palestinians in Israel,1,very confident
Two-state solution to Israeli-Palestinian conflict,"The Reut Institute described in a May 1, 2008 report, ""a trend towards the erosion of the principle of the Two-State Solution among the'moderate' Palestinian camp, as well as among additional Arab elements.",Public-private partnership:,0,very confident
Two-state solution to Israeli-Palestinian conflict,"The Reut Institute described in a May 1, 2008 report, ""a trend towards the erosion of the principle of the Two-State Solution among the'moderate' Palestinian camp, as well as among additional Arab elements.",Two-state solution is increasingly popular among Palestinians,0,very confident
Two-state solution to Israeli-Palestinian conflict,"The Reut Institute described in a May 1, 2008 report, ""a trend towards the erosion of the principle of the Two-State Solution among the'moderate' Palestinian camp, as well as among additional Arab elements.",There is growing public opposition to the two-state solution,1,very confident
Two-state solution to Israeli-Palestinian conflict,A two-state solution offers the Palestinians a very small amount of territory in the West Bank and Gaza strip. This small amount of space is not going to work for such a large and rapidly growing population of Palestinians.,Constructing and transporting wave power systems requires substantial energy.,0,very confident
Two-state solution to Israeli-Palestinian conflict,A two-state solution offers the Palestinians a very small amount of territory in the West Bank and Gaza strip. This small amount of space is not going to work for such a large and rapidly growing population of Palestinians.,Two-state solution would not work with growing Palestinian population,1,very confident
Two-state solution to Israeli-Palestinian conflict,A two-state solution offers the Palestinians a very small amount of territory in the West Bank and Gaza strip. This small amount of space is not going to work for such a large and rapidly growing population of Palestinians.,Two-state solution offers too little Palestinian territory,1,very confident
Two-state solution to Israeli-Palestinian conflict,"we are further from implementing the two-state solution today than we were in 2001. In fact, it can't be implemented because the Palestinians themselves constitute two states. Without Palestinian unity -- unity that ended with the Hamas election and then full seizure of power in Gaza--the two-state solution is simply not achievable.",The UN SC veto is justifiably given to nuclear powers,0,very confident
Two-state solution to Israeli-Palestinian conflict,A two-state solution offers the Palestinians a very small amount of territory in the West Bank and Gaza strip. This small amount of space is not going to work for such a large and rapidly growing population of Palestinians.,Two-state solution does not offer Palestinians enough space.,1,very confident
Two-state solution to Israeli-Palestinian conflict,"we are further from implementing the two-state solution today than we were in 2001. In fact, it can't be implemented because the Palestinians themselves constitute two states. Without Palestinian unity -- unity that ended with the Hamas election and then full seizure of power in Gaza--the two-state solution is simply not achievable.",The two-state solution is not possible today,1,very confident
Two-state solution to Israeli-Palestinian conflict,"we are further from implementing the two-state solution today than we were in 2001. In fact, it can't be implemented because the Palestinians themselves constitute two states. Without Palestinian unity -- unity that ended with the Hamas election and then full seizure of power in Gaza--the two-state solution is simply not achievable.",Palestinian unity is not possible; two-state solution is feasible,0,confident
Two-state solution to Israeli-Palestinian conflict,"we are further from implementing the two-state solution today than we were in 2001. In fact, it can't be implemented because the Palestinians themselves constitute two states. Without Palestinian unity -- unity that ended with the Hamas election and then full seizure of power in Gaza--the two-state solution is simply not achievable.",Two-state solution impossible without Palestinian unity,1,very confident
Two-state solution to Israeli-Palestinian conflict,"International consensus or no, the two-state solution is a chimera. Peace will not be achieved by granting sovereignty to the Palestinians, because Palestinian sovereignty has never been the Arabs' goal. Time and time again, a two-state solution has been proposed. Time and time again, the Arabs have turned it down.","W/o public option, US health care law emboldens insurers",0,very confident
Two-state solution to Israeli-Palestinian conflict,"International consensus or no, the two-state solution is a chimera. Peace will not be achieved by granting sovereignty to the Palestinians, because Palestinian sovereignty has never been the Arabs' goal. Time and time again, a two-state solution has been proposed. Time and time again, the Arabs have turned it down.",Palestinians do not want peace and a two-state solution,1,very confident
Two-state solution to Israeli-Palestinian conflict,"International consensus or no, the two-state solution is a chimera. Peace will not be achieved by granting sovereignty to the Palestinians, because Palestinian sovereignty has never been the Arabs' goal. Time and time again, a two-state solution has been proposed. Time and time again, the Arabs have turned it down.",Two-state solution is chimera.,1,very confident
Two-state solution to Israeli-Palestinian conflict,"International consensus or no, the two-state solution is a chimera. Peace will not be achieved by granting sovereignty to the Palestinians, because Palestinian sovereignty has never been the Arabs' goal. Time and time again, a two-state solution has been proposed. Time and time again, the Arabs have turned it down.",Two-state solution to Israeli-Palestinian conflict fails,1,very confident
Two-state solution to Israeli-Palestinian conflict,"A two-state solution, particularly one that enables a Jewish state, will alienate Palestinians living in Israeli territory. At best, they would be second class citizens. At worst, they would be pushed out, directly or indirectly.",Two-state solution would alienate Palestinians in Israel.,1,very confident
Two-state solution to Israeli-Palestinian conflict,"A two-state solution, particularly one that enables a Jewish state, will alienate Palestinians living in Israeli territory. At best, they would be second class citizens. At worst, they would be pushed out, directly or indirectly.",Two-state solution will alienate Palestinians living in Israeli,1,very confident
Two-state solution to Israeli-Palestinian conflict,"we are further from implementing the two-state solution today than we were in 2001. In fact, it can't be implemented because the Palestinians themselves constitute two states. Without Palestinian unity -- unity that ended with the Hamas election and then full seizure of power in Gaza--the two-state solution is simply not achievable.",Palestinians are too divided to constitute a state.,1,very confident
U.S. Withdrawal From the United Nations,"If the U.S. withdraws from the U.N, it will promote a policy of isolationism, which will only cause a severe decrease in international trade. Other nations will be hesitant to share resources with a 'lone' nation, a nation we cannot afford to be at this time.",Corrosion would not threaten the integrity of the storage containers.,0,very confident
U.S. Withdrawal From the United Nations,"If the U.S. withdraws from the U.N, it will promote a policy of isolationism, which will only cause a severe decrease in international trade. Other nations will be hesitant to share resources with a 'lone' nation, a nation we cannot afford to be at this time.",A U.S. withdrawal will cause trade to falter.,1,very confident
U.S. Withdrawal From the United Nations,"If the U.S. withdraws from the U.N, it will promote a policy of isolationism, which will only cause a severe decrease in international trade. Other nations will be hesitant to share resources with a 'lone' nation, a nation we cannot afford to be at this time.",Withdrawing from UN will promote isolationism,1,very confident
U.S. Withdrawal From the United Nations,"If the U.S. withdraws from the U.N, it will promote a policy of isolationism, which will only cause a severe decrease in international trade. Other nations will be hesitant to share resources with a 'lone' nation, a nation we cannot afford to be at this time.",Withdrawing from the U.N. will increase isolationism,1,very confident
U.S. Withdrawal From the United Nations,"If the U.S. withdraws from the U.N, it will promote a policy of isolationism, which will only cause a severe decrease in international trade. Other nations will be hesitant to share resources with a 'lone' nation, a nation we cannot afford to be at this time.",Withdrawing from the United Nations will decrease international trade,1,very confident
U.S. Withdrawal From the United Nations,"Since the U.S. has the largest military in the world, in addition to the most economic might, its material strength justifies its autonomy. Withdrawing from the U.N. could allow America to exercise its influence outside the realm of the U.N.'s unnecessary constraint.",America's material might justifies withdrawal from the UN,1,very confident
U.S. Withdrawal From the United Nations,"Since the U.S. has the largest military in the world, in addition to the most economic might, its material strength justifies its autonomy. Withdrawing from the U.N. could allow America to exercise its influence outside the realm of the U.N.'s unnecessary constraint.",Other means have uncovered the same evidence revealed by the NSA program:,0,very confident
UN Security Council veto,"The veto simply needs to be extended to more countries and in a manner that is more reflective of the geopolitical distribution of power today, as opposed to post-WWII when the current veto-powers were originally distributed.",A US-India nuclear deal will gut the NPT.,0,very confident
UN Security Council veto,"The veto simply needs to be extended to more countries and in a manner that is more reflective of the geopolitical distribution of power today, as opposed to post-WWII when the current veto-powers were originally distributed.","UN SC veto need not be abolished, but extended to more countries.",1,very confident
UN Security Council veto,"The veto simply needs to be extended to more countries and in a manner that is more reflective of the geopolitical distribution of power today, as opposed to post-WWII when the current veto-powers were originally distributed.",The veto needs to be extended to more countries.,1,very confident
UN Security Council veto,"It is no longer viable to argue that nations agreed to join the UN as an unequal body. As a global constitution, the UN charter must uphold sovereign equality. And, yet, the UN SC veto power violates this principle.",UNSC veto violates principle of sovereign equality,1,very confident
UN Security Council veto,"It is no longer viable to argue that nations agreed to join the UN as an unequal body. As a global constitution, the UN charter must uphold sovereign equality. And, yet, the UN SC veto power violates this principle.",UNSC veto violates principle of equality,1,very confident
UN Security Council veto,"It is no longer viable to argue that nations agreed to join the UN as an unequal body. As a global constitution, the UN charter must uphold sovereign equality. And, yet, the UN SC veto power violates this principle.",The UN SC veto violates democratic principal of sovereign equality,1,confident
UN Security Council veto,"It is no longer viable to argue that nations agreed to join the UN as an unequal body. As a global constitution, the UN charter must uphold sovereign equality. And, yet, the UN SC veto power violates this principle.",2009 health care reform bill would lower premiums,0,very confident
UN Security Council veto,"The veto simply needs to be extended to more countries and in a manner that is more reflective of the geopolitical distribution of power today, as opposed to post-WWII when the current veto-powers were originally distributed.",The veto needs to be expanded to more countries,1,very confident
UN Security Council veto,"Country admission into the UN and into the Security Council is a sensitive topic for some countries, and can often involve deeply rooted prejudices. But, admission should not be held ransom to these prejudices in the form of the vetoe.",Accession to the UN and the Security Council is sensitive topic.,1,very confident
UN Security Council veto,"Country admission into the UN and into the Security Council is a sensitive topic for some countries, and can often involve deeply rooted prejudices. But, admission should not be held ransom to these prejudices in the form of the vetoe.",Admission into the UN is a sensitive topic.,1,very confident
UN Security Council veto,"Country admission into the UN and into the Security Council is a sensitive topic for some countries, and can often involve deeply rooted prejudices. But, admission should not be held ransom to these prejudices in the form of the vetoe.",Standards save money on fuel-efficient vehicles.,0,very confident
UN Security Council veto,"The military might of each of the P5 members individually, and within separate groups, notably the UK and US axis within NATO, is such that the avoidance of disagreement is crucial to international peace. The P5 may occasionally cast the veto for selfish reasons. Yet this cost is outweighed by the maintenance of unity that becomes ever more critical in the post Cold War multipolar world.",The P5 have a right to argue against the veto.,0,very confident
UN Security Council veto,"The military might of each of the P5 members individually, and within separate groups, notably the UK and US axis within NATO, is such that the avoidance of disagreement is crucial to international peace. The P5 may occasionally cast the veto for selfish reasons. Yet this cost is outweighed by the maintenance of unity that becomes ever more critical in the post Cold War multipolar world.",The P5's ability to avoid disagreement is crucial to peace,1,very confident
UN Security Council veto,"Country admission into the UN and into the Security Council is a sensitive topic for some countries, and can often involve deeply rooted prejudices. But, admission should not be held ransom to these prejudices in the form of the vetoe.",Admission into the UN Security Council can be sensitive,1,very confident
UN Security Council veto,"The military might of each of the P5 members individually, and within separate groups, notably the UK and US axis within NATO, is such that the avoidance of disagreement is crucial to international peace. The P5 may occasionally cast the veto for selfish reasons. Yet this cost is outweighed by the maintenance of unity that becomes ever more critical in the post Cold War multipolar world.","The US is subjecting itself to ""imperial overstretch"" in Iraq",0,very confident
UN Security Council veto,"The veto simply needs to be extended to more countries and in a manner that is more reflective of the geopolitical distribution of power today, as opposed to post-WWII when the current veto-powers were originally distributed.",The veto should be extended to more states,1,very confident
UN Security Council veto,"Current veto holders enjoy their privileged position and are unlikely to go along with the extension of this privilege to other countries, as it dilutes their own veto power.","Offshore drilling rigs are resilient, withstanding even hurricanes",0,very confident
UN Security Council veto,"Current veto holders enjoy their privileged position and are unlikely to go along with the extension of this privilege to other countries, as it dilutes their own veto power.",Extension of UN SC veto power to other countries will be resisted by current veto holders.,1,very confident
UN Security Council veto,"Current veto holders enjoy their privileged position and are unlikely to go along with the extension of this privilege to other countries, as it dilutes their own veto power.",Current veto holders are unlikely to extend this privilege,1,very confident
UN Security Council veto,"Current veto holders enjoy their privileged position and are unlikely to go along with the extension of this privilege to other countries, as it dilutes their own veto power.",Current veto holders are unlikely to expand their power.,0,very confident
US and NATO intervention in Libya,"James Joyner: ""While one can debate the degree to which the presidency is imperial, it’s simply untrue that the war in Libya is illegal in any shape, manner, or form. It’s being conducted under the auspices of both the UN Charter and the North Atlantic Treaty, which rather covers it internationally.",The intervention in Libya is legal and therefore legitimate,1,very confident
US and NATO intervention in Libya,"Once Obama crosses the Rubicon, future presidents will simply cite Libya when they unilaterally commit America to far more ambitious NATO campaigns. If nothing happens, history will say that the War Powers Act was condemned to a quiet death by a president who had solemnly pledged, on the campaign trail, to put an end to indiscriminate warmaking.",Wikis and blogs are destroying culture and economy,0,very confident
US and NATO intervention in Libya,"White House spokesman Jay Carney said the president expects Congress to support the Libya campaign. With Gadhafi under pressure to leave power, he said weak Congressional support sends ""mixed messages"" about U.S. commitment to the campaign.",US should support Libya campaign,1,confident
US and NATO intervention in Libya,"White House spokesman Jay Carney said the president expects Congress to support the Libya campaign. With Gadhafi under pressure to leave power, he said weak Congressional support sends ""mixed messages"" about U.S. commitment to the campaign.",Two-state solution would be too narrow for security,0,very confident
US and NATO intervention in Libya,"we've accomplished these objectives consistent with the pledge that I made to the American people at the outset of our military operations. I said that America's role would be limited; that we would not put ground troops into Libya; that we would focus our unique capabilities on the front end of the operation and that we would transfer responsibility to our allies and partners. Tonight, we are fulfilling that pledge.",US and NATO intervention in Libya is consistent with US pledge,1,very confident
US and NATO intervention in Libya,"James Joyner: ""While one can debate the degree to which the presidency is imperial, it’s simply untrue that the war in Libya is illegal in any shape, manner, or form. It’s being conducted under the auspices of both the UN Charter and the North Atlantic Treaty, which rather covers it internationally.",Libyan conflict is illegal under UN and NATO law,0,very confident
US and NATO intervention in Libya,"After Rwanda, the world said ""never again."" The Obama administration's action in Libya to protect massacres of civilians are consistent with this call and the values that under-pin it.",US intervention in Libya upholds humanitarian principles,1,very confident
US and NATO intervention in Libya,"Once Obama crosses the Rubicon, future presidents will simply cite Libya when they unilaterally commit America to far more ambitious NATO campaigns. If nothing happens, history will say that the War Powers Act was condemned to a quiet death by a president who had solemnly pledged, on the campaign trail, to put an end to indiscriminate warmaking.",Future US presidents will simply cite Libya,1,very confident
US and NATO intervention in Libya,"Once Obama crosses the Rubicon, future presidents will simply cite Libya when they unilaterally commit America to far more ambitious NATO campaigns. If nothing happens, history will say that the War Powers Act was condemned to a quiet death by a president who had solemnly pledged, on the campaign trail, to put an end to indiscriminate warmaking.",NATO intervention in Libya is a war crime,0,very confident
US and NATO intervention in Libya,"Once Obama crosses the Rubicon, future presidents will simply cite Libya when they unilaterally commit America to far more ambitious NATO campaigns. If nothing happens, history will say that the War Powers Act was condemned to a quiet death by a president who had solemnly pledged, on the campaign trail, to put an end to indiscriminate warmaking.",US intervention in Libya would be cited by future administrations,1,very confident
US and NATO intervention in Libya,"A growing chorus of international voices has now called for Qadhafi’s departure, including the G8, the Contact Group representing more than 20 countries, Russian President Medvedev, Turkish Prime Minister Erdogan, and several key African leaders such as the Presidents of Gabon, Mauritania, and Senegal. This growing consensus and Qadhafi’s control of less and less of Libya indicate that his departure is only a matter of time.",The US should withdraw from Iraq and re-focus its attention on Iran.,0,very confident
US and NATO intervention in Libya,"A growing chorus of international voices has now called for Qadhafi’s departure, including the G8, the Contact Group representing more than 20 countries, Russian President Medvedev, Turkish Prime Minister Erdogan, and several key African leaders such as the Presidents of Gabon, Mauritania, and Senegal. This growing consensus and Qadhafi’s control of less and less of Libya indicate that his departure is only a matter of time.",Even regime change goals in Libya have moral legitimacy.,0,confident
US and NATO intervention in Libya,"A growing chorus of international voices has now called for Qadhafi’s departure, including the G8, the Contact Group representing more than 20 countries, Russian President Medvedev, Turkish Prime Minister Erdogan, and several key African leaders such as the Presidents of Gabon, Mauritania, and Senegal. This growing consensus and Qadhafi’s control of less and less of Libya indicate that his departure is only a matter of time.",Many international leaders are calling for Qadhafi's departure,1,very confident
US and NATO intervention in Libya,"A growing chorus of international voices has now called for Qadhafi’s departure, including the G8, the Contact Group representing more than 20 countries, Russian President Medvedev, Turkish Prime Minister Erdogan, and several key African leaders such as the Presidents of Gabon, Mauritania, and Senegal. This growing consensus and Qadhafi’s control of less and less of Libya indicate that his departure is only a matter of time.",Many international leaders have called for Qadhafi's departure.,1,very confident
US and NATO intervention in Libya,"A growing chorus of international voices has now called for Qadhafi’s departure, including the G8, the Contact Group representing more than 20 countries, Russian President Medvedev, Turkish Prime Minister Erdogan, and several key African leaders such as the Presidents of Gabon, Mauritania, and Senegal. This growing consensus and Qadhafi’s control of less and less of Libya indicate that his departure is only a matter of time.",Many world leaders support the removal of Qadhafi,1,very confident
US and NATO intervention in Libya,"we've accomplished these objectives consistent with the pledge that I made to the American people at the outset of our military operations. I said that America's role would be limited; that we would not put ground troops into Libya; that we would focus our unique capabilities on the front end of the operation and that we would transfer responsibility to our allies and partners. Tonight, we are fulfilling that pledge.",There is no wind on the moon.,0,very confident
US and NATO intervention in Libya,"we've accomplished these objectives consistent with the pledge that I made to the American people at the outset of our military operations. I said that America's role would be limited; that we would not put ground troops into Libya; that we would focus our unique capabilities on the front end of the operation and that we would transfer responsibility to our allies and partners. Tonight, we are fulfilling that pledge.",US maintained limited role in Libya campaign.,1,very confident
US and NATO intervention in Libya,"we've accomplished these objectives consistent with the pledge that I made to the American people at the outset of our military operations. I said that America's role would be limited; that we would not put ground troops into Libya; that we would focus our unique capabilities on the front end of the operation and that we would transfer responsibility to our allies and partners. Tonight, we are fulfilling that pledge.",US military is focused on securing Libya,0,confident
US and NATO intervention in Libya,"Once Obama crosses the Rubicon, future presidents will simply cite Libya when they unilaterally commit America to far more ambitious NATO campaigns. If nothing happens, history will say that the War Powers Act was condemned to a quiet death by a president who had solemnly pledged, on the campaign trail, to put an end to indiscriminate warmaking.",Libya war weakens War Powers; makes going to war easier,0,confident
US and NATO intervention in Libya,"The US gained the official support, or call for help, from the Arab League before acting in Libya. This added a critical layer of legitimacy and thus legality to the operation, particularly due to the sensitivities of Arab countries to Western military operations in their region.",The US and NATO intervention in Libya was given important legitimacy,1,very confident
US and NATO intervention in Libya,"James Joyner: ""While one can debate the degree to which the presidency is imperial, it’s simply untrue that the war in Libya is illegal in any shape, manner, or form. It’s being conducted under the auspices of both the UN Charter and the North Atlantic Treaty, which rather covers it internationally.",US defense spending will be cut by more than $400 billion.,0,very confident
US and NATO intervention in Libya,"To brush aside America's responsibility as a leader and — more profoundly — our responsibilities to our fellow human beings under such circumstances would have been a betrayal of who we are. Some nations may be able to turn a blind eye to atrocities in other countries. The United States of America is different. And as President, I refused to wait for the images of slaughter and mass graves before taking action.",America is a force for good.,1,very confident
US and NATO intervention in Libya,"To brush aside America's responsibility as a leader and — more profoundly — our responsibilities to our fellow human beings under such circumstances would have been a betrayal of who we are. Some nations may be able to turn a blind eye to atrocities in other countries. The United States of America is different. And as President, I refused to wait for the images of slaughter and mass graves before taking action.",US intervention in Libya would betray America's leadership,0,very confident
US and NATO intervention in Libya,"To brush aside America's responsibility as a leader and — more profoundly — our responsibilities to our fellow human beings under such circumstances would have been a betrayal of who we are. Some nations may be able to turn a blind eye to atrocities in other countries. The United States of America is different. And as President, I refused to wait for the images of slaughter and mass graves before taking action.",US intervention in Libya would violate US values,0,very confident
US and NATO intervention in Libya,"The lawsuit against President Obama aims to protect the American public from, in addition to avoidance of the War Powers Act, the policy that a president may commit the United States to a war under the authority of the North Atlantic Treaty Organization (NATO) in violation of the express conditions of the North Atlantic Treaty ratified by Congress.",Consumers are not really pressured to pay more for ethical products,0,very confident
US and NATO intervention in Libya,"After Rwanda, the world said ""never again."" The Obama administration's action in Libya to protect massacres of civilians are consistent with this call and the values that under-pin it.",NATO intervention in Libya is consistent with international law,0,very confident
US and NATO intervention in Libya,"The lawsuit against President Obama aims to protect the American public from, in addition to avoidance of the War Powers Act, the policy that a president may commit the United States to a war under the authority of the North Atlantic Treaty Organization (NATO) in violation of the express conditions of the North Atlantic Treaty ratified by Congress.",NATO intervention in Libya violates US War Powers Act,1,confident
US and NATO intervention in Libya,"After Rwanda, the world said ""never again."" The Obama administration's action in Libya to protect massacres of civilians are consistent with this call and the values that under-pin it.",Libya is a beacon of hope for the world,0,confident
US and NATO intervention in Libya,"After Rwanda, the world said ""never again."" The Obama administration's action in Libya to protect massacres of civilians are consistent with this call and the values that under-pin it.",US action in Libya lives-up to memory of Rwanda.,1,very confident
US and NATO intervention in Libya,"After Rwanda, the world said ""never again."" The Obama administration's action in Libya to protect massacres of civilians are consistent with this call and the values that under-pin it.",Wave power diminishes wave quality for surfers,0,very confident
US and NATO intervention in Libya,"White House spokesman Jay Carney said the president expects Congress to support the Libya campaign. With Gadhafi under pressure to leave power, he said weak Congressional support sends ""mixed messages"" about U.S. commitment to the campaign.",US/NATO intervention in Libya undermines credibility of US- Libya relations,0,very confident
US and NATO intervention in Libya,"The US gained the official support, or call for help, from the Arab League before acting in Libya. This added a critical layer of legitimacy and thus legality to the operation, particularly due to the sensitivities of Arab countries to Western military operations in their region.",US offshore oil drilling reduces foreign oil dependencies,0,very confident
US and NATO intervention in Libya,"The US gained the official support, or call for help, from the Arab League before acting in Libya. This added a critical layer of legitimacy and thus legality to the operation, particularly due to the sensitivities of Arab countries to Western military operations in their region.",The Arab League gave US legitimacy in Libya.,1,very confident
US and NATO intervention in Libya,"The US gained the official support, or call for help, from the Arab League before acting in Libya. This added a critical layer of legitimacy and thus legality to the operation, particularly due to the sensitivities of Arab countries to Western military operations in their region.",The US gained the support of the Arab League.,1,very confident
US and NATO intervention in Libya,"To brush aside America's responsibility as a leader and — more profoundly — our responsibilities to our fellow human beings under such circumstances would have been a betrayal of who we are. Some nations may be able to turn a blind eye to atrocities in other countries. The United States of America is different. And as President, I refused to wait for the images of slaughter and mass graves before taking action.",Wave energy will occupy a large area of coastline,0,very confident
US and NATO intervention in Libya,"James Joyner: ""While one can debate the degree to which the presidency is imperial, it’s simply untrue that the war in Libya is illegal in any shape, manner, or form. It’s being conducted under the auspices of both the UN Charter and the North Atlantic Treaty, which rather covers it internationally.",US engagement in Libya has UN/NATO legal authorization.,1,very confident
US and NATO intervention in Libya,"we've accomplished these objectives consistent with the pledge that I made to the American people at the outset of our military operations. I said that America's role would be limited; that we would not put ground troops into Libya; that we would focus our unique capabilities on the front end of the operation and that we would transfer responsibility to our allies and partners. Tonight, we are fulfilling that pledge.",US and NATO intervention in Libya was successful,0,confident
US and NATO intervention in Libya,"The lawsuit against President Obama aims to protect the American public from, in addition to avoidance of the War Powers Act, the policy that a president may commit the United States to a war under the authority of the North Atlantic Treaty Organization (NATO) in violation of the express conditions of the North Atlantic Treaty ratified by Congress.",Obama's actions violate the War Powers Act,1,very confident
US debt ceiling deal,This bitter debate and the modest result will leave job-creators and consumers feeling uncertain. The Institute for Supply Management's July manufacturing report shows how bad feelings can hold back the economy.,Pakistan is not doing enough to combat terrorism,0,very confident
US debt ceiling deal,"Republicans will surely be emboldened by the way Mr. Obama keeps folding in the face of their threats. He surrendered last December, extending all the Bush tax cuts; he surrendered in the spring when they threatened to shut down the government; and he has now surrendered on a grand scale to raw extortion over the debt ceiling. Maybe it’s just me, but I see a pattern here.","Obama surrendered on many issues, including debt ceiling",1,very confident
US debt ceiling deal,"Liberals: As the basic framework of the deal emerged, liberals began voicing their discontent about a bargain that left their side wanting more. With no revenue in the initial phase of the legislation and Medicare cuts on the table in the second phase, there’s not much for the ideological left to celebrate.",Torture dehumanizes the human person.,0,very confident
US debt ceiling deal,"Liberals: As the basic framework of the deal emerged, liberals began voicing their discontent about a bargain that left their side wanting more. With no revenue in the initial phase of the legislation and Medicare cuts on the table in the second phase, there’s not much for the ideological left to celebrate.",US debt ceiling deal disappoints conservatives,0,very confident
US debt ceiling deal,"Liberals: As the basic framework of the deal emerged, liberals began voicing their discontent about a bargain that left their side wanting more. With no revenue in the initial phase of the legislation and Medicare cuts on the table in the second phase, there’s not much for the ideological left to celebrate.",Debt ceiling deal leaves liberals wanting more,1,very confident
US debt ceiling deal,"Republicans will surely be emboldened by the way Mr. Obama keeps folding in the face of their threats. He surrendered last December, extending all the Bush tax cuts; he surrendered in the spring when they threatened to shut down the government; and he has now surrendered on a grand scale to raw extortion over the debt ceiling. Maybe it’s just me, but I see a pattern here.",Surveillance video does not intrude on privacy.,0,very confident
US debt ceiling deal,This bitter debate and the modest result will leave job-creators and consumers feeling uncertain. The Institute for Supply Management's July manufacturing report shows how bad feelings can hold back the economy.,Debate on whether to cut taxes is futile,0,very confident
US debt ceiling deal,This bitter debate and the modest result will leave job-creators and consumers feeling uncertain. The Institute for Supply Management's July manufacturing report shows how bad feelings can hold back the economy.,"Debt ceiling debate hurts economy, jobs",1,very confident
US debt ceiling deal,"For the deal itself, given the available information, is a disaster, and not just for President Obama and his party. It will damage an already depressed economy; it will probably make America’s long-run deficit problem worse, not better; and most important, by demonstrating that raw extortion works and carries no political cost, it will take America a long way down the road to banana-republic status.",Higher fuel economy standards do not increase driving,0,very confident
US debt ceiling deal,"For the deal itself, given the available information, is a disaster, and not just for President Obama and his party. It will damage an already depressed economy; it will probably make America’s long-run deficit problem worse, not better; and most important, by demonstrating that raw extortion works and carries no political cost, it will take America a long way down the road to banana-republic status.",$700b bailout is a disaster economically,0,very confident
US debt ceiling deal,"For the deal itself, given the available information, is a disaster, and not just for President Obama and his party. It will damage an already depressed economy; it will probably make America’s long-run deficit problem worse, not better; and most important, by demonstrating that raw extortion works and carries no political cost, it will take America a long way down the road to banana-republic status.",Debt ceiling deal will damage US economy,1,very confident
US debt ceiling deal,"For the deal itself, given the available information, is a disaster, and not just for President Obama and his party. It will damage an already depressed economy; it will probably make America’s long-run deficit problem worse, not better; and most important, by demonstrating that raw extortion works and carries no political cost, it will take America a long way down the road to banana-republic status.",Debt ceiling deal worsens US deficit crisis,1,very confident
US debt ceiling deal,"Republicans will surely be emboldened by the way Mr. Obama keeps folding in the face of their threats. He surrendered last December, extending all the Bush tax cuts; he surrendered in the spring when they threatened to shut down the government; and he has now surrendered on a grand scale to raw extortion over the debt ceiling. Maybe it’s just me, but I see a pattern here.",Obama surrendered to Republicans on three occasions,1,very confident
US debt ceiling deal,"Republicans will surely be emboldened by the way Mr. Obama keeps folding in the face of their threats. He surrendered last December, extending all the Bush tax cuts; he surrendered in the spring when they threatened to shut down the government; and he has now surrendered on a grand scale to raw extortion over the debt ceiling. Maybe it’s just me, but I see a pattern here.","Obama surrendered to Republicans in December, 2009 on grand scale",1,very confident
US electoral college,"Parties know that certain states will always vote one way eg Alaska always votes Republican, Massachusetts usually votes Democrat. Both parties generally spend less resources on campaigning in these ‘safe’ states, and pay more attention to the needs of electors in ‘swing’ states, such as Michigan and Florida, which determine the outcome of elections. This can mean that elections become less competitive as resources are concentrated on a smaller geographical area and smaller section of society.",Repairing wave generators is expensive.,0,very confident
US electoral college,"Alternative election methods such as Approval voting, Condorcet voting, and even Instant Runoff Voting cannot be properly implemented at the Presidential level if the Electoral College remains in place. This is unfortunate, given that these methods are a marked improvement on the current systems.",Electoral College does not allow alternative voting,1,very confident
US electoral college,"Alternative election methods such as Approval voting, Condorcet voting, and even Instant Runoff Voting cannot be properly implemented at the Presidential level if the Electoral College remains in place. This is unfortunate, given that these methods are a marked improvement on the current systems.",Alternative voting methods cannot be properly implemented without the Electoral College,0,confident
US electoral college,"Alternative election methods such as Approval voting, Condorcet voting, and even Instant Runoff Voting cannot be properly implemented at the Presidential level if the Electoral College remains in place. This is unfortunate, given that these methods are a marked improvement on the current systems.",The electoral college stands in the way of election reform,1,very confident
